Symbol,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Company,Rank
AAPL,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977,Apple Inc.,1.0
MSFT,reports,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019,1975,Microsoft Corp.,2.0
AMZN,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1018724,1994,Amazon.com Inc.,3.0
FB,reports,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801,2004,Facebook Inc. Class A,4.0
GOOGL,reports,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998,Alphabet Inc. Class A,5.0
GOOG,reports,Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998,Alphabet Inc. Class C,6.0
BRK.B,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1067983,1839,Berkshire Hathaway Inc. Class B,7.0
JNJ,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,200406,1886,Johnson & Johnson,8.0
JPM,reports,Financials,Diversified Banks,"New York, New York",1975-06-30,19617,2000 (1799 / 1871),JPMorgan Chase & Co.,9.0
V,reports,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009-12-21,1403161,1958,Visa Inc. Class A,10.0
PG,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",1957-03-04,80424,1837,Procter & Gamble Co.,11.0
NVDA,reports,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810,1993,NVIDIA Corp.,12.0
UNH,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,731766,1977,UnitedHealth Group Inc.,13.0
MA,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008-07-18,1141391,1966,MasterCard Inc. Class A,14.0
HD,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,354950,1978,Home Depot Inc.,15.0
DIS,reports,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,1744489,1923,Walt Disney Company,16.0
PYPL,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20,1633917,1998,PayPal Holdings Inc.,17.0
VZ,reports,Communication Services,Integrated Telecommunication Services,"New York, New York",1983-11-30,732712,1983 (1877),Verizon Communications Inc.,18.0
CMCSA,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1166691,1963,Comcast Corp. Class A,19.0
ADBE,reports,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982,Adobe Inc.,20.0
NFLX,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280,1997,Netflix Inc.,21.0
CRM,reports,Information Technology,Application Software,"San Francisco, California",2008-09-15,1108524,1999,salesforce.com Inc.,22.0
PFE,reports,Health Care,Pharmaceuticals,"New York, New York",1957-03-04,78003,1849,Pfizer Inc.,23.0
BAC,reports,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,70858,1998 (1923 / 1874),Bank of America Corp.,24.0
WMT,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31,104169,1962,Walmart Inc.,25.0
